"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.958222330E-1,2.446794510E-1,-2.100342810E-1
2.999215000E-2,-3.026848137E-1,2.453880310E-1,-2.624296546E-1
5.998452200E-2,-3.419827819E-1,2.455739975E-1,-3.288211226E-1
8.997697600E-2,-3.754408360E-1,2.451925278E-1,-3.469807506E-1
1.199697010E-1,-4.006407261E-1,2.447338104E-1,-3.275021315E-1
1.400860570E-1,-4.197037518E-1,2.442159653E-1,-3.004747033E-1
1.601893750E-1,-4.394740462E-1,2.435035706E-1,-2.680629790E-1
1.802891600E-1,-4.594012499E-1,2.427282333E-1,-2.405480742E-1
2.003732050E-1,-4.784598947E-1,2.421178818E-1,-2.296856046E-1
2.204498910E-1,-4.980121255E-1,2.415208817E-1,-2.245336324E-1
2.405204070E-1,-5.206238031E-1,2.407522202E-1,-2.164891511E-1
2.605856570E-1,-5.508918166E-1,2.396917343E-1,-2.088994235E-1
2.806473230E-1,-5.711525083E-1,2.385625839E-1,-1.844906658E-1
3.007091220E-1,-5.829274058E-1,2.379035950E-1,-1.725748926E-1
3.207708880E-1,-5.863120556E-1,2.377223969E-1,-1.695280820E-1
3.408326540E-1,2.409955263E-1,-3.499984741E-2,4.044830203E-1
3.608944200E-1,2.404755950E-1,-3.444671631E-2,3.688584566E-1
3.809561860E-1,4.746609330E-1,-2.950248718E-1,2.503244281E-1
4.010179190E-1,4.353191853E-1,-1.132879257E-1,5.135909095E-2
4.211463520E-1,2.823253572E-1,8.951091766E-2,1.071793959E-1
4.412080850E-1,9.478750825E-2,1.915531158E-1,8.388100564E-2
4.612697850E-1,4.027426243E-3,1.955976486E-1,1.389781833E-1
4.813265510E-1,-1.551079750E-2,3.706645966E-2,2.723377347E-1
5.013882500E-1,-5.408558249E-2,-5.178356171E-2,1.864358932E-1
5.214501160E-1,-4.598146677E-2,-8.301353455E-2,1.790107191E-1
5.415119160E-1,5.013078451E-3,-1.857957840E-1,2.314659208E-1
5.615736820E-1,7.240599394E-2,-2.381601334E-1,1.212325469E-1
5.816354480E-1,1.119073331E-1,-2.714595795E-1,1.250247806E-1
6.016972140E-1,1.553093493E-1,-2.211370468E-1,1.799241006E-1
6.217589800E-1,1.380848587E-1,-2.595481873E-1,1.237476692E-1
