"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-3.191019893E-1,6.008148193E-5,-4.194222391E-1
2.999276600E-2,-3.278907537E-1,-1.487731934E-4,-4.240247607E-1
5.998673900E-2,-3.269757628E-1,-5.903244019E-4,-4.115101397E-1
8.997946700E-2,-3.225123882E-1,-1.164436340E-3,-3.925026655E-1
1.200388420E-1,-3.140208721E-1,-1.217842102E-3,-3.822594881E-1
1.401553150E-1,-3.076844215E-1,-9.727478027E-4,-3.815265000E-1
1.602682150E-1,-3.005545139E-1,-6.284713745E-4,-3.828843534E-1
1.803606550E-1,-2.920686603E-1,-1.325607300E-4,-3.863342106E-1
2.004446980E-1,-2.845525146E-1,5.950927734E-4,-3.964762390E-1
2.205214660E-1,-2.781204581E-1,1.405715942E-3,-4.107029140E-1
2.405920960E-1,-2.725814581E-1,2.230644226E-3,-4.267457128E-1
2.606574150E-1,-2.676707506E-1,3.048896790E-3,-4.433817863E-1
2.807191810E-1,-2.612350583E-1,3.727912903E-3,-4.559197724E-1
3.008142800E-1,-2.533468604E-1,4.315376282E-3,-4.644269049E-1
3.209427130E-1,-2.459388226E-1,4.822731018E-3,-4.717895389E-1
3.410711130E-1,-2.374193519E-1,5.378723145E-3,-4.792912900E-1
3.611991790E-1,4.883956909E-2,-8.028697968E-2,5.408498645E-2
3.813276120E-1,1.042451859E-1,3.510379791E-2,2.367309332E-1
4.014560450E-1,1.254747212E-1,-4.115581512E-2,2.468943000E-1
4.215511110E-1,1.640328765E-1,-9.844207764E-2,2.893814445E-1
4.416128770E-1,1.941987872E-1,-7.209491730E-2,3.089949489E-1
4.616685770E-1,2.357707918E-1,-5.066299438E-2,3.473680615E-1
4.817305430E-1,1.927957833E-1,-4.862117767E-2,3.535073698E-1
5.017923090E-1,1.727526486E-1,-9.467411041E-2,3.852150440E-1
5.218540750E-1,1.506946981E-1,-1.313257217E-1,3.947675824E-1
5.419158410E-1,6.704574823E-2,-2.422494888E-1,3.924150467E-1
5.619776070E-1,2.988964319E-2,-2.334136963E-1,3.886949420E-1
5.820393730E-1,-6.791880727E-2,-2.220849991E-1,3.013654649E-1
6.020678060E-1,-1.279615760E-1,-1.676349640E-1,2.711445093E-1
