"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-4.216558933E-1,1.378440857E-1,-7.721786499E-1
2.999276600E-2,-3.540278673E-1,2.369422913E-1,-5.082139969E-1
5.998551700E-2,-2.830698490E-1,3.470640182E-1,-1.809873581E-1
8.997824500E-2,-2.344732881E-1,4.262247086E-1,8.328533173E-2
1.199712200E-1,-1.920428276E-1,4.832220078E-1,2.929644585E-1
1.499640360E-1,-1.515220404E-1,5.227384567E-1,4.504938126E-1
1.799567350E-1,-1.214387342E-1,5.511054993E-1,5.714745522E-1
2.099495560E-1,-1.021912992E-1,5.735797882E-1,6.731090546E-1
2.399410470E-1,-8.729563653E-2,5.923690796E-1,7.624198198E-1
2.699337350E-1,-7.300349325E-2,6.082925797E-1,8.415851593E-1
2.999264330E-1,-6.661525369E-2,6.215991974E-1,9.107118845E-1
3.299214320E-1,-6.165295839E-2,6.325387955E-1,9.695720673E-1
3.599140970E-1,-8.166304976E-2,1.002855301E-1,-3.891342878E-1
3.899067950E-1,1.235071421E-1,-1.292028427E-1,-3.269200325E-1
4.198993270E-1,1.159897521E-1,-2.662696838E-1,-3.505933285E-1
4.498920590E-1,-6.090798974E-2,-3.324642181E-1,-3.860437870E-1
4.798847570E-1,1.552114636E-1,-3.901491165E-1,-2.191597223E-1
5.098773220E-1,9.334515780E-2,-4.170150757E-1,-2.191665173E-1
5.398710870E-1,-6.180997193E-2,-1.385765076E-1,-3.761922121E-1
5.698637850E-1,-3.367722929E-1,8.837985992E-2,-3.052885532E-1
5.998564170E-1,-1.600629091E-1,6.762790680E-2,-9.640097618E-2
6.298468160E-1,1.439152956E-1,2.631473541E-2,-1.305418015E-1
6.598395480E-1,4.543285072E-2,-1.071462631E-1,-2.366585732E-1
6.898321800E-1,-3.625796735E-2,-1.894617081E-1,-2.523262501E-1
7.198249120E-1,5.033398420E-2,-5.732822418E-2,-7.867205143E-2
7.498174770E-1,2.374278307E-1,-1.189870834E-1,-1.954146624E-1
7.798101090E-1,9.955029190E-2,-9.360790253E-2,-1.232413054E-1
8.098028410E-1,6.219759583E-3,-1.219177246E-1,-1.851443052E-1
8.397954400E-1,-1.995578408E-2,-1.344594955E-1,-1.134648323E-1
8.697881050E-1,-2.689982951E-2,-9.753513336E-2,-9.561860561E-2
8.997808370E-1,-1.075586677E-2,-9.800148010E-2,-1.435483694E-1
9.297732350E-1,-6.164842844E-2,-8.871650696E-2,-1.618181467E-1
9.597658670E-1,-4.344305396E-2,-2.852439880E-2,-2.103782892E-1
9.897585650E-1,-6.176054478E-3,-6.059455872E-2,-1.278362274E-1
1.019751197E0,-1.256041229E-2,-4.752540588E-2,-1.168119907E-1
1.049743862E0,1.879662275E-2,-5.208301544E-2,-9.739017487E-2
1.079736560E0,2.074673772E-2,-8.377742767E-2,-1.692146063E-1
1.109729192E0,2.329722047E-2,-1.215772629E-1,-1.806670427E-1
1.139721857E0,4.473616183E-2,-9.084796906E-2,-1.124814749E-1
1.169714522E0,2.109496295E-2,-6.180191040E-2,-1.200689077E-1
1.199707154E0,5.877113342E-2,-1.591768265E-1,4.855096340E-2
1.229700053E0,2.090586722E-2,-1.933851242E-1,1.562571526E-2
1.259692752E0,3.730382025E-2,-2.002248764E-1,-2.670550346E-2
1.289685517E0,2.103979886E-2,-6.581115723E-2,-2.822721004E-2
1.319711549E0,-5.381181836E-3,2.563190460E-2,4.804372787E-3
1.339773349E0,-1.739561558E-4,4.710483551E-2,-2.154839039E-2
1.359835115E0,-4.333123565E-3,5.390071869E-2,-4.053711891E-2
1.379896881E0,-2.053995430E-2,1.035976410E-2,-6.713533401E-2
1.399958647E0,-4.523168504E-2,-9.033775330E-2,-4.613339901E-2
1.420020413E0,-1.451556385E-2,-1.259536743E-1,3.755867481E-2
1.440082179E0,1.821070910E-2,-8.996868134E-2,6.176495552E-2
1.460143979E0,-1.388056576E-2,-8.124446869E-2,5.050778389E-3
1.480205745E0,-4.263582826E-2,-6.585407257E-2,-1.270374060E-1
1.500267511E0,-1.645874977E-2,-1.003351212E-1,-1.749664545E-1
1.520329311E0,-5.129098892E-3,-7.364463806E-2,-1.014664173E-1
1.540391043E0,4.150757194E-2,-7.465934753E-2,-1.365888119E-2
1.560452809E0,4.748810828E-2,-5.156707764E-2,2.325153351E-2
1.580514575E0,5.324929953E-2,-3.363418579E-2,5.563414097E-2
1.600576207E0,3.212963045E-2,-2.832126617E-2,3.578019142E-2
1.620604940E0,-1.745060086E-2,-5.234432220E-2,-1.208662987E-2
1.650597672E0,-4.383027554E-4,-1.193275452E-1,-5.186867714E-2
1.680590337E0,7.782697678E-3,-1.472787857E-1,1.636564732E-2
1.710583035E0,5.117431283E-3,-8.172798157E-2,3.655195236E-3
1.740575700E0,3.533157706E-2,-8.595371246E-2,3.124248981E-2
1.770568332E0,1.111344993E-2,-7.380104065E-2,4.912519455E-2
1.800561030E0,3.799647093E-2,-8.404922485E-2,2.752196789E-2
1.830553695E0,1.790252328E-2,-8.794498444E-2,-2.591705322E-2
1.860546360E0,-1.188778877E-2,-9.191799164E-2,-7.498931885E-2
1.890539058E0,-9.009450674E-3,-8.339118958E-2,-9.203600883E-2
1.920531423E0,1.342888176E-2,-1.053094864E-1,-5.201542377E-2
1.950524022E0,3.006011248E-4,-1.386566162E-1,-9.676194191E-2
1.980516687E0,-2.563178539E-2,-2.998580933E-1,-4.024672508E-2
2.010509352E0,3.892108798E-3,-3.978843689E-1,-1.084196568E-2
2.040502017E0,3.899711370E-2,-5.532808304E-1,1.628423929E-1
2.070494682E0,6.452654302E-2,-6.219472885E-1,7.167220116E-2
2.100487347E0,7.304215431E-2,-9.897575378E-1,2.189584970E-1
2.130480045E0,1.120631546E-1,-1.225864410E0,2.874611616E-1
2.160472710E0,1.341605783E-1,-1.361174583E0,4.531012774E-1
2.190465375E0,5.379304290E-2,-1.125573158E0,9.244394302E-2
2.220461907E0,2.015440166E-2,-6.715946198E-1,-1.306813955E-1
2.250454572E0,6.812632084E-2,-3.877983093E-1,-2.629638910E-1
2.280447237E0,6.225034595E-2,-2.419605255E-1,-1.316974163E-1
2.310439969E0,1.417186856E-2,2.196121216E-1,-3.516657352E-1
2.330440968E0,-7.481932640E-2,3.121442795E-1,-3.976672888E-1
2.360433667E0,-1.776736975E-1,8.089084625E-1,-5.062618256E-1
