"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.098631859E-1,1.138734818E-1,-5.753536224E-1
2.999260000E-2,2.510201931E-1,6.143741608E-1,-4.473571777E-1
5.998522600E-2,2.936320305E-1,1.170168161E0,-2.686805725E-1
8.997785400E-2,3.450634480E-1,1.730885744E0,-5.072116852E-2
1.199704960E-1,7.093815804E-1,4.098294735E0,1.363891125E0
1.499631420E-1,1.114016891E0,5.597561836E0,2.871948242E0
1.799559390E-1,1.484947443E0,6.492246628E0,4.217792988E0
2.099486320E-1,1.796427608E0,7.001441002E0,5.308208466E0
2.399414420E-1,2.015716553E0,7.284946442E0,6.164094925E0
2.699340940E-1,2.178267002E0,7.443033218E0,6.829164028E0
2.999267920E-1,2.302742481E0,7.527663231E0,7.321778297E0
3.299194570E-1,-3.728840947E-1,-1.833858490E-1,-1.084339857E0
3.599121220E-1,-2.905285656E-1,-3.158760071E-2,-9.600731134E-1
3.899381540E-1,1.869471669E-1,-4.101819992E-1,-6.046602130E-1
4.099999870E-1,3.299753070E-1,-6.579055786E-1,-7.286534309E-1
4.300618190E-1,1.887978911E-1,-5.507583618E-1,-5.408142805E-1
4.501235850E-1,-2.699634433E-2,-5.479602814E-1,-3.333727717E-1
4.701853850E-1,-3.612402081E-1,-3.832750320E-1,-3.904052079E-1
4.902471510E-1,-7.483378053E-2,-2.860336304E-1,-4.375361204E-1
5.103089170E-1,1.754507124E-1,-2.565908432E-1,-6.417946219E-1
5.303705830E-1,1.922070384E-1,-4.474105835E-1,-8.377375007E-1
5.504323160E-1,-1.157552004E-1,-6.136503220E-1,-1.168043375E0
5.704940820E-1,-3.996606171E-1,-5.977764130E-1,-9.341515303E-1
5.905558480E-1,-6.818668842E-1,-4.190835953E-1,-6.759853959E-1
6.106176140E-1,-6.922926307E-1,-2.608766556E-1,-6.686720848E-1
6.306793800E-1,-5.544812679E-1,-2.029905319E-1,-6.060388088E-1
6.507411800E-1,-3.154143691E-1,1.220932007E-1,-4.292024672E-1
6.708029460E-1,-6.491589546E-2,2.876358032E-1,-2.958014011E-1
6.908313450E-1,1.079734862E-1,2.770729065E-1,-2.914025784E-1
7.208238440E-1,7.546654344E-2,2.745656967E-1,-4.135804772E-1
7.508166100E-1,-1.190655529E-1,2.756853104E-1,-7.362252474E-1
7.808092090E-1,-6.267091632E-2,-4.496288300E-2,-8.307353258E-1
8.108018080E-1,-2.186340094E-2,-2.520980835E-1,-2.157921940E-1
8.407945400E-1,9.715034962E-1,-4.035434723E-1,-1.970053166E-1
8.707872390E-1,-1.143478751E-1,1.916065216E-1,-1.694678962E-1
9.007799040E-1,2.644693255E-1,4.959392548E-2,2.824307978E-1
9.307729020E-1,-1.405176073E-1,1.194572449E-1,3.519341350E-1
9.508013340E-1,2.124024928E-1,-1.344747543E-1,-8.896006346E-1
9.708631000E-1,-3.035457432E-2,-5.104541779E-2,-7.338384390E-1
9.909248660E-1,3.898535669E-2,-1.211233139E-1,3.820300698E-1
1.010986699E0,2.994908690E-1,-1.728792191E-1,3.467631340E-1
1.031048498E0,1.650354266E-2,1.309833527E-1,-2.464754134E-1
1.051110231E0,-2.866453826E-1,2.975826263E-1,-5.451988578E-1
1.071171964E0,1.134690642E-1,1.892766953E-1,-8.018349409E-1
1.091233730E0,2.005322874E-1,1.438646317E-1,-8.514592648E-1
1.111362163E0,-1.796325743E-1,2.567052841E-1,-1.412666142E-1
1.131558729E0,7.426285744E-2,1.270961761E-2,-1.205360442E-1
1.151753795E0,3.150561452E-1,3.415298462E-2,-5.265427828E-1
1.171948828E0,1.464009732E-1,3.067283630E-1,-2.099555284E-1
1.192143994E0,2.988718152E-1,2.510910034E-1,-1.890695244E-1
1.212339060E0,6.924903393E-2,2.793684006E-1,-2.958882749E-1
1.232533859E0,-3.810398281E-1,6.577129364E-1,1.797645986E-1
1.252695592E0,-2.056940645E-1,5.626468658E-1,2.905178666E-1
1.272823992E0,6.118293107E-2,2.188262939E-1,-3.558393717E-1
1.292952425E0,1.436831802E-1,1.025485992E-1,-8.026920557E-1
1.313080791E0,1.506093740E-1,1.515903473E-1,-4.322531819E-1
1.333209190E0,4.249264598E-1,2.785396576E-2,1.247444153E-1
1.353337590E0,4.685275555E-1,1.067533493E-1,7.829865813E-2
1.373465990E0,2.855219245E-1,2.638692856E-1,-1.698949486E-1
1.393661089E0,-1.454812139E-1,2.527904510E-2,-4.759543240E-1
1.413789489E0,-2.520004511E-1,-1.103944778E-1,-2.587682009E-1
1.433849555E0,-3.085479140E-2,-5.087490082E-1,2.881036103E-1
1.453911321E0,1.310935020E-1,-5.810041428E-1,-2.974721789E-2
1.473973120E0,2.851530313E-1,-8.275213242E-1,-6.651198864E-2
1.494034820E0,3.233499229E-1,-9.682064056E-1,-5.045972466E-1
