"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.060461339E0,-4.691788554E-2,3.848681927E0,2.175288945E-1
2.080489205E0,-1.424781680E-1,4.720588684E0,1.190827489E-1
2.100551038E0,-2.098253220E-1,4.454614639E0,1.903488934E-1
2.120612804E0,-2.926176488E-1,4.092781544E0,2.870619893E-1
2.140674603E0,-3.082490861E-1,3.484522343E0,6.938883066E-1
2.160736369E0,-3.299233913E-1,3.360096931E0,5.161503553E-1
2.180800269E0,-2.956478000E-1,2.412134171E0,3.597777188E-1
2.200861969E0,-2.436716855E-1,1.890272617E0,2.688452303E-1
2.220923735E0,-1.693091840E-1,1.442435265E0,3.483727872E-1
2.240985467E0,-1.362979412E-2,7.426986694E-1,1.797440946E-1
2.261047233E0,1.042516008E-1,-4.864959717E-1,1.324509084E-1
2.281110933E0,1.470573843E-1,-1.299252510E0,1.797980368E-1
2.301172699E0,1.892040372E-1,-2.099686623E0,3.771819174E-1
2.321234465E0,1.614266038E-1,-2.375057220E0,3.019855618E-1
2.341296231E0,1.919854805E-2,-3.183985710E0,3.779146969E-1
2.361357963E0,-9.225494415E-2,-3.844492912E0,6.594176292E-1
2.381420395E0,-2.123703957E-1,-4.086876869E0,5.670214295E-1
2.411413027E0,-2.519782782E-1,-4.548652649E0,6.294697523E-1
2.441405659E0,-1.609520465E-1,-4.624452591E0,1.965953112E-1
2.471396224E0,1.684007049E-2,-4.381754875E0,6.786257029E-2
2.501388889E0,9.307678789E-2,-4.015753746E0,-1.199761629E-1
2.531381554E0,1.243621558E-1,-2.990798950E0,2.785027027E-2
2.561374252E0,4.363813996E-2,-2.087127686E0,-5.808413029E-2
2.591365017E0,-1.299411207E-1,-1.435430527E0,4.335153103E-2
2.621357682E0,-1.885319203E-1,-2.469139099E-1,3.567892313E-2
2.651350380E0,-2.550688386E-1,3.644819260E-1,-2.192621529E-1
2.681342945E0,-2.382305861E-1,1.305663109E0,-3.301570415E-1
2.711335610E0,-1.852779537E-1,1.866205215E0,-5.315760374E-1
2.741328375E0,-1.967950761E-1,2.286585331E0,-6.497758031E-1
2.771321040E0,-1.871028990E-1,2.503790855E0,-5.691623688E-1
2.801313772E0,-1.606086940E-1,2.707769394E0,-4.903850257E-1
2.831306437E0,-2.355070263E-1,2.763284206E0,-4.728091061E-1
2.861299102E0,-3.175592422E-1,2.608008385E0,-2.919875979E-1
2.891293334E0,-3.427710235E-1,2.401108742E0,-2.836824358E-1
2.921286033E0,-4.313865304E-1,1.924302578E0,-3.734708428E-1
2.951278698E0,-3.708498776E-1,1.430802345E0,-3.952973783E-1
2.981271463E0,-2.925084829E-1,8.584995270E-1,-5.483903885E-1
3.011264262E0,-2.231829464E-1,2.257747650E-1,-5.590983629E-1
3.041256827E0,-8.497075737E-2,-4.418029785E-1,-4.083184004E-1
3.071249525E0,-7.802566886E-2,-1.004473686E0,-2.924627662E-1
3.101242124E0,-7.194688916E-2,-1.559283257E0,-1.484972239E-2
3.131234789E0,-1.118372753E-1,-1.974372864E0,1.164599061E-1
3.161227554E0,-1.852127016E-1,-2.124081612E0,3.172987700E-2
3.191218720E0,-1.603315920E-1,-2.363954544E0,-5.615657568E-2
3.221211385E0,-9.776639938E-2,-2.353056908E0,-1.983778477E-1
3.251204083E0,-3.022351116E-2,-2.249310493E0,-3.065482080E-1
3.281196649E0,1.416819394E-1,-2.025706291E0,-2.023195028E-1
3.311189214E0,1.405221373E-1,-1.482384682E0,-8.962750435E-2
3.341182012E0,1.834172755E-1,-1.022902489E0,1.078710556E-1
3.371174644E0,1.610189825E-1,-6.536035538E-1,1.298259497E-1
3.401167110E0,9.176965058E-2,1.220703125E-3,-1.507341862E-2
3.431159842E0,1.554254740E-1,4.081640244E-1,-7.100039721E-2
3.461152441E0,1.196412593E-1,7.500972748E-1,-3.088114858E-1
3.491145073E0,2.751452625E-1,1.076313019E0,-2.050586045E-1
3.521137771E0,3.290817142E-1,1.243010521E0,-1.565601826E-1
3.551130436E0,4.701113999E-1,1.285871506E0,1.097645462E-1
3.581123134E0,4.311871529E-1,1.378829956E0,2.002335191E-1
3.611115799E0,4.224790335E-1,1.289349556E0,3.351972699E-1
3.641108364E0,2.801084816E-1,1.213462830E0,2.364700735E-1
3.671101062E0,2.508096695E-1,1.009773254E0,2.018187046E-1
3.701093927E0,1.975122541E-1,7.741937637E-1,1.092317700E-2
3.731086626E0,2.551817000E-1,4.070425034E-1,8.266505599E-2
3.761079291E0,2.988854945E-1,8.598327637E-2,1.044737995E-1
3.791071956E0,3.687567711E-1,-3.396606445E-1,3.513577878E-1
3.821064888E0,2.940231562E-1,-4.707517624E-1,3.404850960E-1
3.851057553E0,2.347930670E-1,-7.461309433E-1,4.461223185E-1
3.881050218E0,8.349248022E-2,-8.817682266E-1,3.148834407E-1
3.911486779E0,-5.295257270E-2,-1.042785645E0,1.310277283E-1
3.941479444E0,-9.987518191E-2,-1.063084602E0,-4.588592052E-2
3.971472109E0,-2.758410573E-2,-1.123249054E0,-3.824222088E-2
4.001464807E0,-1.901589334E-2,-1.081769943E0,-3.025352955E-3
4.031458739E0,4.497960210E-3,-9.773273468E-1,2.458631992E-2
4.061451404E0,-3.537371755E-3,-7.792835236E-1,8.398616314E-2
4.091444102E0,-1.259731948E-1,-4.821376801E-1,-2.320027351E-2
4.121436467E0,-1.849728823E-1,-2.607116699E-1,-7.449954748E-2
4.151429132E0,-2.651203871E-1,2.208900452E-2,-2.249837816E-1
4.181421830E0,-2.955524921E-1,1.587686539E-1,-3.720343113E-1
4.211412962E0,-2.234832793E-1,3.568859100E-1,-4.114621580E-1
4.241405727E0,-2.274040878E-1,4.851999283E-1,-3.934490383E-1
4.271398459E0,-1.749875098E-1,5.523567200E-1,-3.790132105E-1
4.301391091E0,-1.763485819E-1,5.912733078E-1,-2.796602845E-1
4.331382456E0,-2.115178704E-1,6.220769882E-1,-2.786723971E-1
4.361375154E0,-2.494362593E-1,5.823507309E-1,-3.361310959E-1
4.391367786E0,-2.913581431E-1,4.992790222E-1,-3.800773323E-1
4.421360484E0,-2.741204500E-1,3.951311111E-1,-4.677436352E-1
4.451353182E0,-1.961057782E-1,2.257232666E-1,-4.447412491E-1
4.481345814E0,-1.437307298E-1,1.133966446E-1,-3.685101271E-1
4.511338512E0,-5.988557637E-2,-1.534900665E-1,-2.741149664E-1
4.541331110E0,-3.136566281E-2,-3.098516464E-1,-1.091346145E-1
4.571323709E0,-2.877849340E-2,-3.831167221E-1,-6.152158976E-2
4.601316407E0,-7.168437541E-2,-4.791336060E-1,-6.725621223E-2
4.631309072E0,-1.065230519E-1,-5.253553391E-1,-7.422167063E-2
4.661301737E0,-8.737973869E-2,-5.285587311E-1,-1.069389582E-1
4.691294435E0,-4.140384495E-3,-5.860767365E-1,-8.855432272E-2
4.721287235E0,3.967647254E-2,-5.684318542E-1,1.527422667E-2
4.751279900E0,1.185161993E-1,-5.624341965E-1,1.177813411E-1
4.781272665E0,1.118906513E-1,-4.465684891E-1,2.345048487E-1
4.811265330E0,8.095189929E-2,-3.076248169E-1,2.651329935E-1
4.841257995E0,6.000022218E-2,-1.408939362E-1,2.652919292E-1
4.871250693E0,8.481048048E-3,8.590698242E-3,1.405782402E-1
4.901243358E0,2.970094979E-2,9.357357025E-2,1.760230064E-1
4.931236023E0,7.067944109E-2,1.788053513E-1,2.451660186E-1
4.961228688E0,1.380892843E-1,1.920881271E-1,4.526038468E-1
4.991221353E0,1.694618911E-1,2.287998199E-1,5.382642150E-1
5.021213919E0,1.490277350E-1,2.578516006E-1,6.097502112E-1
5.051206584E0,1.129592955E-1,2.577762604E-1,5.423510671E-1
5.081199216E0,3.130305186E-2,2.406511307E-1,4.594412446E-1
5.111191914E0,-7.330924273E-3,2.017679214E-1,3.363615274E-1
5.141184579E0,-1.396108419E-2,1.342630386E-1,3.307086229E-1
5.171177278E0,2.764905989E-2,-2.936840057E-2,3.493046463E-1
5.201169976E0,7.743709534E-2,-1.354827881E-1,4.109570980E-1
5.231162641E0,7.878135145E-2,-2.109575272E-1,4.167396128E-1
5.261155373E0,4.816979915E-2,-2.490892410E-1,3.686233163E-1
5.291148071E0,-1.249678433E-2,-2.620820999E-1,2.141786516E-1
5.321140703E0,-7.465185225E-2,-2.615509033E-1,3.543996811E-2
5.351133368E0,-1.151259765E-1,-2.516374588E-1,-6.704628468E-2
5.381126033E0,-1.031192392E-1,-2.603139877E-1,-1.091558933E-1
5.411118665E0,-8.047974855E-2,-3.016748428E-1,-1.541787386E-1
5.441111363E0,-3.125846386E-2,-3.063297272E-1,-1.272363067E-1
5.471104028E0,-2.770692110E-2,-2.768964767E-1,-7.755619287E-2
5.501096660E0,-4.615676403E-2,-2.338666916E-1,-1.538570523E-1
5.531089358E0,-1.002548486E-1,-1.944007874E-1,-1.993184686E-1
5.561082024E0,-1.935987771E-1,-6.014060974E-2,-2.733133435E-1
5.591074656E0,-2.007719427E-1,8.940696716E-3,-4.621263444E-1
5.621067354E0,-2.158111334E-1,4.591274261E-2,-4.936535954E-1
5.651060052E0,-1.881160140E-1,5.847930908E-2,-5.083616972E-1
5.681052684E0,-1.468430758E-1,2.474594116E-2,-5.282990336E-1
5.711045382E0,-9.320472181E-2,2.104377747E-2,-4.101170897E-1
5.741038047E0,-1.096359789E-1,1.938629150E-2,-3.714055419E-1
5.771030712E0,-1.282282323E-1,2.163410187E-2,-3.986580372E-1
5.801023478E0,-1.901762486E-1,2.338886261E-2,-3.908725381E-1
5.831016143E0,-2.271118164E-1,3.463363647E-2,-4.909291863E-1
5.861008775E0,-2.428654134E-1,-1.027488708E-2,-5.122352242E-1
5.891001473E0,-1.957037747E-1,-6.519126892E-2,-4.752999842E-1
5.920994138E0,-1.243470907E-1,-1.330432892E-1,-4.372936189E-1
5.950986803E0,-5.291880667E-2,-2.049760818E-1,-2.688522339E-1
5.980979501E0,-2.893953025E-2,-2.439279556E-1,-2.185316682E-1
6.010972166E0,4.244580865E-3,-7.313060760E-2,-6.868613958E-1
6.040964831E0,9.868621826E-2,-3.502845764E-3,-7.521160245E-1
6.070957496E0,2.311119139E-1,-8.672714233E-2,-2.392868102E-1
6.100950095E0,2.112011313E-1,-2.694253922E-1,2.920733690E-1
6.130942793E0,4.521708935E-2,-2.933282852E-1,3.363595009E-1
6.160935458E0,-3.849850595E-2,-2.158803940E-1,-7.477793097E-2
6.190928123E0,2.168503404E-2,-1.761074066E-1,-1.929284036E-1
6.220920821E0,-1.550772786E-2,-2.173061371E-1,-2.630352676E-1
6.250913486E0,-2.934884280E-3,-2.322912216E-1,-2.923647761E-1
6.280906151E0,1.034326106E-2,-2.655858994E-1,-1.111564040E-1
6.310898849E0,2.870769799E-2,-2.612400055E-1,7.531398535E-2
6.340891547E0,-1.749174669E-2,-2.091417313E-1,4.190028310E-1
6.370884212E0,-8.128273487E-2,-8.230113983E-2,4.783302844E-1
6.400876944E0,-1.170612499E-1,-3.156757355E-2,4.995734990E-1
6.430869576E0,-1.007326320E-1,1.351423264E-1,2.939254940E-1
6.460862308E0,-3.899944574E-2,1.005420685E-1,1.746143997E-1
6.490855006E0,6.730397791E-2,3.047084808E-2,-2.809348702E-2
6.520847638E0,8.781939745E-3,3.834438324E-2,1.621302366E-1
6.550840336E0,-9.031593800E-2,5.150032043E-2,4.060104191E-1
6.580833034E0,-1.743652225E-1,7.108020782E-2,5.619276166E-1
6.610825666E0,-2.091919184E-1,4.882526398E-2,5.169345737E-1
6.640818331E0,-1.469019651E-1,-3.164482117E-2,1.296100020E-1
6.670811029E0,1.793386042E-2,-2.009067535E-1,9.783357382E-3
6.700803628E0,-2.564376593E-2,-4.801807404E-1,-3.325177133E-1
6.730796326E0,-2.555254400E-1,-4.732627869E-1,4.754555225E-1
6.760788958E0,-6.167048216E-2,-3.773927689E-1,3.209394217E-1
6.790781590E0,-1.402564049E-1,-1.530036926E-1,-2.039773017E-1
6.820774288E0,1.165860295E-1,-2.158451080E-1,-2.361390889E-1
6.850766953E0,3.591027260E-1,-2.165451050E-1,-1.631369889E-1
6.880759618E0,2.451471090E-1,5.192375183E-2,-6.431028247E-2
6.910752350E0,1.950522512E-1,9.574031830E-2,1.749494076E-1
