"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.819002628E-1,4.900169373E-2,-3.624629974E-2
2.999260000E-2,-1.564680338E-1,6.811332703E-2,7.725036144E-2
5.998536900E-2,-1.094587445E-1,8.855152130E-2,1.994177103E-1
8.997799700E-2,-4.146832228E-2,1.076097488E-1,3.130500317E-1
1.199706390E-1,3.620177507E-2,1.235485077E-1,4.094235897E-1
1.499632850E-1,9.762483835E-2,1.360883713E-1,4.963461161E-1
1.799559320E-1,1.203542352E-1,1.448631287E-1,5.754663944E-1
2.099485830E-1,1.351402998E-1,1.513109207E-1,6.397836804E-1
2.399412360E-1,1.371861398E-1,1.564493179E-1,7.013671994E-1
2.699339550E-1,1.413438320E-1,1.609659195E-1,7.580190301E-1
2.999266530E-1,1.492702365E-1,1.647605896E-1,8.062871099E-1
3.299193180E-1,1.757023335E-1,1.684265137E-1,8.432721496E-1
3.599119840E-1,-8.753287792E-2,-8.547592163E-2,-2.927482128E-1
3.899046830E-1,-3.699359298E-2,-1.851797104E-1,-4.130954146E-1
4.198973480E-1,3.755298257E-2,-1.155424118E-1,-2.636419535E-1
4.498900130E-1,-1.042008996E-1,5.873203278E-2,-3.568354845E-1
4.798826780E-1,-5.767485499E-2,2.124881744E-1,-2.646636367E-1
5.098753430E-1,-1.405921578E-2,-2.959060669E-2,-2.315286696E-1
5.398680410E-1,5.198606849E-2,-1.133747101E-1,-2.481210828E-1
5.698607060E-1,5.795705318E-2,-1.330928802E-1,-2.511743009E-1
5.998533710E-1,-3.784230351E-2,-2.134304047E-1,-2.472025007E-1
6.298460690E-1,-4.660815001E-2,-1.412754059E-1,-1.758721173E-1
6.598387010E-1,3.628113866E-2,-1.078033447E-1,-1.019746661E-1
6.898313660E-1,-5.485129356E-2,4.966926575E-2,-1.117445230E-1
7.198240640E-1,-8.776837587E-2,6.851959229E-2,-1.548530757E-1
7.498167290E-1,-6.993767619E-2,-1.931667328E-2,-1.800386757E-1
7.798091940E-1,6.436464190E-2,-1.424474716E-1,-1.412354708E-1
8.098018920E-1,9.211385250E-2,-2.227563858E-1,-2.075098753E-1
8.397945240E-1,-2.032089233E-2,-1.338462830E-1,-2.661081851E-1
8.697868900E-1,6.505656242E-2,-2.374649048E-2,-1.926735342E-1
8.997795880E-1,9.962946177E-3,-6.945037842E-2,-8.266291022E-2
9.297722200E-1,1.444632709E-1,-1.557207108E-1,-1.042879820E-1
9.597649180E-1,-1.115215123E-1,2.079248428E-1,-8.773833513E-2
9.897576160E-1,-4.984539747E-2,1.724262238E-1,-1.154050231E-2
1.019750248E0,-8.460122347E-2,1.012706757E-1,-7.430011034E-2
1.039751947E0,-1.038143933E-1,5.365753174E-2,-5.092141032E-2
1.069744845E0,1.006595194E-1,8.265018463E-2,-3.127270937E-2
1.099737610E0,-9.101963043E-2,3.146686554E-1,-1.474702656E-1
1.129763609E0,5.577546358E-2,5.135278702E-1,-1.359853595E-1
1.149825375E0,3.273820877E-2,6.026039124E-1,-9.027361870E-3
1.169887408E0,1.099313498E-1,7.132062912E-1,-4.770502448E-2
1.189949141E0,6.260854006E-2,9.026899338E-1,-9.401383996E-2
1.210010907E0,-1.645187140E-1,1.159059525E0,-7.208864391E-2
1.230072673E0,-2.526099682E-1,1.116416931E0,-1.567079127E-1
1.250201106E0,-8.449000120E-2,7.558279037E-1,-8.420675993E-3
1.270329506E0,1.029062569E-1,5.052051544E-1,4.628002644E-4
1.290457706E0,3.415960073E-2,1.437292099E-1,-7.875125110E-2
1.310586139E0,-2.832079232E-1,1.766395569E-1,-1.465860456E-1
1.330714572E0,-5.137718320E-1,3.145818710E-1,-1.124635488E-1
1.350836405E0,-3.008627594E-1,3.859968185E-1,-3.647452593E-2
1.370964838E0,-2.167382836E-2,8.448982239E-2,8.831241727E-2
1.391093471E0,-4.065859318E-2,-7.583427429E-2,1.809344590E-1
1.411221904E0,-5.544614792E-2,-1.765317917E-1,1.015637815E-1
1.431316970E0,4.434776306E-2,-4.162359238E-1,1.308587193E-2
1.451378736E0,-4.484182596E-2,-2.371864319E-1,6.085473299E-2
1.471440502E0,2.507123351E-2,-2.376251221E-1,1.838469505E-2
1.491506735E0,9.672462940E-2,-2.400522232E-1,2.197978795E-1
1.511568568E0,2.421760559E-2,-3.595161438E-1,3.322789073E-2
1.531630334E0,1.833305657E-1,-6.775245667E-1,1.569210589E-1
1.561623033E0,2.397575974E-1,-1.083988190E0,-1.752625257E-1
1.591615699E0,4.094035625E-1,-1.464780807E0,-2.037343681E-1
1.621608331E0,9.729358554E-2,-1.130501747E0,-4.301888943E-1
1.651601029E0,-1.101464927E-1,-8.555088043E-1,-2.920958996E-1
1.681593694E0,-5.940845609E-2,-7.734441757E-1,-1.007630825E-1
1.711586059E0,-5.786415935E-2,-1.203199387E0,-7.414877415E-2
1.741578757E0,1.047690511E-1,-1.590561867E0,-6.655451655E-2
1.771571422E0,8.516588807E-2,-2.242329597E0,-5.316611528E-1
1.801559688E0,7.419994473E-2,-4.991178513E0,-1.159570217E-1
1.831552320E0,5.005884171E-2,-4.419440269E0,-6.821230054E-3
1.861544952E0,1.132410765E-2,-3.233572960E0,4.145282507E-2
1.891537817E0,3.045266867E-2,-1.560158730E0,-6.190649420E-2
1.921530549E0,-4.612696171E-2,-1.822347641E-1,-2.778564990E-1
1.951523214E0,-1.595231891E-2,8.078565598E-1,-3.351767659E-1
1.981515879E0,-8.246499300E-2,1.491838455E0,-3.735501766E-1
2.011508712E0,-1.698907912E-1,2.619181156E0,-2.808271945E-1
2.041501377E0,-2.327828556E-1,3.191143990E0,-1.205680221E-1
