"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.246194929E-1,-1.123752594E-1,-3.306457400E-1
2.998561600E-2,-1.474408358E-1,-1.069507599E-1,-3.700898886E-1
5.997382000E-2,-8.323752880E-2,-9.704494476E-2,-4.947164059E-1
8.996334800E-2,-2.470073104E-2,-8.984279633E-2,-6.063781977E-1
1.199535540E-1,2.624882758E-2,-8.503723145E-2,-7.004189491E-1
1.499441360E-1,7.376329601E-2,-8.189678192E-2,-7.788717747E-1
1.799350830E-1,1.132823899E-1,-7.981777191E-2,-8.495013118E-1
2.099262540E-1,1.462294012E-1,-7.851791382E-2,-9.121713638E-1
2.399175600E-1,1.767198145E-1,-7.783126831E-2,-9.650788307E-1
2.699090400E-1,2.021035552E-1,-7.754230499E-2,-1.009310126E0
2.999017050E-1,2.206988037E-1,-7.748413086E-2,-1.049991727E0
3.298943700E-1,2.335531712E-1,-7.754707336E-2,-1.087396502E0
3.598870680E-1,-1.960995793E-1,-9.449958801E-2,2.891867459E-1
3.898797330E-1,7.538703829E-2,-6.602573395E-2,4.701819718E-1
4.198723980E-1,9.568840265E-3,-6.867885590E-2,4.168447256E-1
4.498651300E-1,-6.446540356E-4,-8.818912506E-2,3.448489904E-1
4.798578280E-1,1.476304233E-2,-6.941318512E-2,4.182305336E-1
5.098505600E-1,6.716265529E-2,-1.002597809E-2,3.777607679E-1
5.398432580E-1,8.894756436E-2,-5.715370178E-3,3.217240572E-1
5.698359230E-1,-1.159669459E-2,-6.119060516E-2,2.227855772E-1
5.998288880E-1,8.648131788E-2,-1.500968933E-1,2.078633159E-1
6.298215530E-1,6.715513766E-2,-1.024179459E-1,2.319858819E-1
6.598142180E-1,1.015222520E-1,-3.539810181E-1,2.488168776E-1
6.898069840E-1,1.356747597E-1,-5.002193451E-1,2.452849746E-1
7.098687840E-1,1.420407891E-1,-7.565841675E-1,-2.432226390E-1
